Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-06,2.75,3.0,2.75,3.0,29056,0,0.0,,,,,,,,,,2.25
2017-02-07,3.0,3.0,2.75,3.0,28844,0,0.0,0.0,1.0,,,,,,,,2.25
2017-02-08,3.0,3.0,2.75,2.75,31788,0,0.0,-0.08333333333333337,0.9166666666666666,,,,,,,,2.25
2017-02-09,2.75,3.25,2.75,3.0,141728,0,0.0,0.09090909090909083,0.9999999999999999,,,,,,,,2.5
2017-02-10,3.0,3.25,2.75,3.25,73900,0,0.0,0.08333333333333326,1.083333333333333,,,,,,,,2.25
2017-02-13,3.25,3.75,3.25,3.75,334096,0,0.0,0.15384615384615374,1.2499999999999996,,,,,,,,2.25
2017-02-14,3.75,3.75,3.25,3.25,183240,0,0.0,-0.1333333333333333,1.083333333333333,,,,,,,,2.0
2017-02-15,3.5,3.5,3.25,3.25,89528,0,0.0,0.0,1.083333333333333,,,,,,,,2.0
2017-02-16,3.25,3.25,3.0,3.0,80708,0,0.0,-0.07692307692307687,0.9999999999999998,,,,3.25,,,,2.0
2017-02-17,2.75,2.75,2.25,2.5,429552,0,0.0,-0.16666666666666663,0.8333333333333331,,,,3.0,,,,2.0
2017-02-21,2.5,2.75,2.5,2.5,111504,0,0.0,0.0,0.8333333333333331,,,,3.0,,,,2.25
2017-02-22,2.5,2.5,2.25,2.25,185552,0,0.0,-0.09999999999999998,0.7499999999999999,,,,3.0,,,,2.25
2017-02-23,2.25,2.5,2.25,2.5,229916,0,0.0,0.11111111111111116,0.8333333333333333,,,,3.0,,,,2.25
2017-02-24,2.5,2.5,2.25,2.5,59252,0,0.0,0.0,0.8333333333333333,,,,3.0,,,,2.0
2017-02-27,2.5,2.5,2.25,2.5,96928,0,0.0,0.0,0.8333333333333333,,,,3.0,,,,2.0
2017-02-28,2.75,2.75,2.5,2.5,61848,0,0.0,0.0,0.8333333333333333,,,,2.875,,,,2.0
2017-03-01,2.25,2.5,2.25,2.5,79112,0,0.0,0.0,0.8333333333333333,,,,2.75,,,,2.0
2017-03-02,2.5,2.75,2.5,2.75,88132,0,0.0,0.10000000000000009,0.9166666666666666,,,,2.5,,,,2.0
2017-03-03,2.75,3.0,2.5,2.75,113312,0,0.0,0.0,0.9166666666666666,,,,2.625,,,,2.25
2017-03-06,3.0,3.0,2.75,2.75,253080,0,0.0,0.0,0.9166666666666666,2.8125,3.5388526401788165,2.0861473598211835,2.625,,,,2.0
2017-03-07,2.75,3.25,2.75,3.0,169312,0,0.0,0.09090909090909083,0.9999999999999999,2.8125,3.5388526401788165,2.0861473598211835,2.75,,,,2.25
2017-03-08,3.0,3.0,2.75,2.75,75336,0,0.0,-0.08333333333333337,0.9166666666666665,2.8,3.521552419950791,2.078447580049209,2.75,,,,2.5
