Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-06,13.989999771118164,14.020000457763672,13.510000228881836,13.539999961853027,9090300,0,0,,,,,,,,,,12.979999542236328
2017-02-07,13.43000030517578,13.699999809265137,13.199999809265137,13.470000267028809,14166000,0,0,-0.005169844536294876,0.9948301554637051,,,,,,,,12.529999732971191
2017-02-08,13.260000228881836,13.380000114440918,12.880000114440918,13.359999656677246,11831800,0,0,-0.00816634062144872,0.9867060335536997,,,,,,,,12.470000267028809
2017-02-09,13.359999656677246,13.670000076293944,13.1899995803833,13.1899995803833,11310600,0,0,-0.01272455693582153,0.974150636450827,,,,,,,,12.220000267028809
2017-02-10,13.470000267028809,13.550000190734863,13.260000228881836,13.350000381469728,12439300,0,0,0.01213046293984621,0.9859675346441213,,,,,,,,12.210000038146973
2017-02-13,13.220000267028809,13.550000190734863,13.220000267028809,13.399999618530272,6203700,0,0,0.0037452610960180266,0.9896602404935608,,,,,,,,12.279999732971191
2017-02-14,13.4399995803833,13.630000114440918,13.31999969482422,13.609999656677246,6415900,0,0,0.015671645083972674,1.0051698445362949,,,,,,,,12.270000457763672
2017-02-15,13.460000038146973,13.609999656677246,13.15999984741211,13.369999885559082,9460700,0,0,-0.01763407620663804,0.9874446028971273,,,,,,,,12.260000228881836
2017-02-16,13.390000343322754,13.449999809265137,13.109999656677246,13.170000076293944,11174500,0,0,-0.014958848988559703,0.9726735681978209,,,,13.450000286102295,,,,12.050000190734863
2017-02-17,13.029999732971191,13.229999542236328,12.899999618530272,13.15999984741211,9205800,0,0,-0.0007593188173047327,0.9719349988543934,,,,13.289999961853027,,,,12.229999542236328
2017-02-21,13.270000457763672,13.609999656677246,13.220000267028809,13.470000267028809,14311000,0,0,0.023556263161937707,0.9948301554637051,,,,13.275000095367432,,,,12.399999618530272
2017-02-22,13.31999969482422,13.5,13.0600004196167,13.279999732971191,11126300,0,0,-0.01410545881893488,0.9807976196739773,,,,13.284999847412108,,,,12.350000381469728
2017-02-23,13.760000228881836,14.329999923706056,13.550000190734863,14.3100004196167,21918400,0,0,0.07756029422864019,1.0568685716346409,,,,13.614999771118164,,,,12.449999809265137
2017-02-24,13.989999771118164,14.18000030517578,13.670000076293944,13.75,13777900,0,0,-0.03913350127153237,1.015509604042734,,,,13.614999771118164,,,,12.460000038146973
2017-02-27,13.81999969482422,14.329999923706056,13.5600004196167,14.15999984741211,15288800,0,0,0.029818170720880666,1.0457902427847743,,,,13.614999771118164,,,,12.539999961853027
2017-02-28,14.06999969482422,14.170000076293944,13.729999542236328,13.81999969482422,15269300,0,0,-0.024011310469754577,1.0206794485790291,,,,13.614999771118164,,,,12.4399995803833
2017-03-01,14.020000457763672,14.300000190734863,14.020000457763672,14.050000190734863,10232500,0,0,0.01664258328433843,1.0376661913086183,,,,13.614999771118164,,,,12.619999885559082
2017-03-02,13.56999969482422,14.149999618530272,13.56999969482422,13.899999618530272,14290400,0,0,-0.010676197165001344,1.0265878624587514,,,,13.614999771118164,,,,12.43000030517578
2017-03-03,13.890000343322754,14.050000190734863,13.510000228881836,13.529999732971191,13780200,0,0,-0.02661869753333146,0.9992614306565727,,,,13.695000171661377,,,,12.75
2017-03-06,13.43000030517578,13.4399995803833,12.760000228881836,13.050000190734863,15581100,0,0,-0.03547668527048231,0.9638109473782376,13.54699993133545,14.233636346882516,12.860363515788382,13.545000076293945,,,,12.529999732971191
2017-03-07,12.979999542236328,13.15999984741211,12.720000267028809,12.779999732971191,18418200,0,0,-0.02068968994769549,0.9438699977087872,13.508999919891357,14.273569294931331,12.744430544851383,13.525000095367432,,,,12.06999969482422
2017-03-08,12.630000114440918,12.789999961853027,12.25,12.399999618530272,15046000,0,0,-0.029733968887382334,0.9158049965631805,13.45549988746643,14.361785483354828,12.549214291578034,13.289999961853027,,,,11.720000267028809
2017-03-09,12.15999984741211,12.229999542236328,11.6899995803833,11.989999771118164,19266000,0,0,-0.03306450484074319,0.8855243578211404,13.386999893188477,14.498204427062001,12.275795359314953,13.009999752044678,,,,11.779999732971191
2017-03-10,12.149999618530272,12.260000228881836,11.800000190734863,12.260000228881836,20945300,0,0,0.022518804246690394,0.9054653074905908,13.340499925613404,14.554992251376081,12.126007599850727,12.994999885559082,,,,11.640000343322754
2017-03-13,12.260000228881836,12.630000114440918,12.220000267028809,12.609999656677246,14163000,0,0,0.0285480767749815,0.9313146006059144,13.303499889373779,14.55941863681895,12.047581141928607,12.994999885559082,,,,11.270000457763672
2017-03-14,12.390000343322754,12.5,11.880000114440918,12.40999984741211,17597600,0,0,-0.015860413537698514,0.9165435659066081,13.25399990081787,14.56813733493926,11.93986246669648,12.919999599456787,13.009999752044678,,,11.380000114440918
2017-03-15,12.609999656677246,12.979999542236328,12.479999542236328,12.979999542236328,19936100,0,0,0.045930677021167154,0.9586410324080934,13.222499895095826,14.53112501745235,11.913874772739302,12.869999885559082,13.009999752044678,,,11.300000190734863
2017-03-16,13.09000015258789,13.18000030517578,12.489999771118164,12.529999732971191,18556100,0,0,-0.0346687076375356,0.9254061867261919,13.18049988746643,14.521368580016572,11.839631194916288,12.5649995803833,13.009999752044678,,,11.369999885559082
2017-03-17,12.619999885559082,12.699999809265137,12.449999809265137,12.470000267028809,11799200,0,0,-0.0047884650615356295,0.9209749115333247,13.145499897003173,14.522097198458122,11.768902595548225,12.434999942779541,13.009999752044678,,,11.460000038146973
2017-03-20,12.270000457763672,12.300000190734863,11.8100004196167,12.220000267028809,20854700,0,0,-0.020048115047840875,0.9025111005507295,13.09849991798401,14.533501730910833,11.663498105057185,12.434999942779541,13.009999752044678,,,11.449999809265137
2017-03-21,12.289999961853027,12.390000343322754,11.989999771118164,12.210000038146973,12410400,0,0,-0.0008183493177833512,0.9017725312073018,13.035499906539917,14.510250925590011,11.560748887489822,12.434999942779541,13.009999752044678,,,11.0600004196167
2017-03-22,12.100000381469728,12.390000343322754,12.020000457763672,12.279999732971191,10062300,0,0,0.005732980721173009,0.9069423757435967,12.985499906539918,14.491521149997409,11.479478663082427,12.490000247955322,13.009999752044678,,,11.029999732971191
2017-03-23,12.239999771118164,12.399999618530272,12.109999656677246,12.270000457763672,8295600,0,0,-0.0008142732430743704,0.9062038768340184,12.883499908447266,14.288788438542415,11.478211378352118,12.49500036239624,13.009999752044678,,,10.65999984741211
2017-03-24,12.329999923706056,12.470000267028809,12.170000076293944,12.260000228881836,8210600,0,0,-0.0008150145483905025,0.9054653074905907,12.808999919891358,14.17983359382061,11.438166245962105,12.49500036239624,13.009999752044678,,,10.420000076293944
2017-03-27,12.079999923706056,12.09000015258789,11.890000343322754,12.050000190734863,11216200,0,0,-0.017128877179974245,0.8899557034478568,12.703499937057495,13.961123739923687,11.445876134191304,12.49500036239624,13.009999752044678,,,10.760000228881836
2017-03-28,12.130000114440918,12.329999923706056,11.989999771118164,12.229999542236328,10754300,0,0,0.0149377052823505,0.9032495994603078,12.6239999294281,13.785614149796505,11.462385709059696,12.49500036239624,13.009999752044678,,,10.34000015258789
2017-03-29,12.229999542236328,12.539999961853027,12.18000030517578,12.399999618530272,10447300,0,0,0.01390025205698886,0.9158049965631803,12.541499900817872,13.501094622609209,11.581905179026535,12.255000114440918,13.009999752044678,,,11.18000030517578
2017-03-30,12.5,12.640000343322754,12.270000457763672,12.350000381469728,13152700,0,0,-0.004032196661185816,0.9121122907137409,12.463999938964843,13.192562724078948,11.735437153850738,12.225000381469727,13.009999752044678,,,11.140000343322754
2017-03-31,12.329999923706056,12.529999732971191,12.220000267028809,12.449999809265137,7051700,0,0,0.008097119409441467,0.9194977728464693,12.40999994277954,12.947859162765981,11.8721407227931,12.265000343322754,13.009999752044678,,,10.960000038146973
2017-04-03,12.449999809265137,12.59000015258789,12.279999732971191,12.460000038146973,9006000,0,0,0.000803231247794356,0.9202363421898969,12.380499935150146,12.831567595190869,11.929432275109424,12.265000343322754,13.009999752044678,,,11.170000076293944
2017-04-04,12.460000038146973,12.550000190734863,12.239999771118164,12.539999961853027,7970400,0,0,0.0064205396036221,0.9261447560696194,12.368499946594238,12.787730222165743,11.949269671022732,12.265000343322754,12.994999885559082,,,11.079999923706056
2017-04-05,12.68000030517578,13.039999961853027,12.40999984741211,12.4399995803833,11559300,0,0,-0.007974512103184228,0.9187592035030416,12.37049994468689,12.7907033038487,11.950296585525079,12.46500015258789,12.994999885559082,,,10.619999885559082
2017-04-06,12.539999961853027,12.699999809265137,12.510000228881836,12.619999885559082,7180600,0,0,0.014469478396094582,0.932053169949342,12.401999950408936,12.796805828724834,12.007194072093037,12.46500015258789,12.919999599456787,,,10.800000190734863
2017-04-07,12.640000343322754,12.710000038146973,12.399999618530272,12.43000030517578,6250600,0,0,-0.01505543439827739,0.9180207045934632,12.410499954223633,12.799936862475008,12.021063045972259,12.514999866485596,12.869999885559082,,,10.6899995803833
2017-04-10,12.550000190734863,12.81999969482422,12.529999732971191,12.75,6437300,0,0,0.02574414215347809,0.9416543601123534,12.41749997138977,12.82581382962283,12.00918611315671,12.610000133514404,12.5649995803833,,,10.390000343322754
2017-04-11,12.75,12.789999961853027,12.350000381469728,12.529999732971191,9459900,0,0,-0.01725492290422026,0.9254061867261919,12.423499965667725,12.834744669983676,12.012255261351774,12.630000114440918,12.434999942779541,,,10.460000038146973
2017-04-12,12.5600004196167,12.670000076293944,12.039999961853027,12.06999969482422,8242800,0,0,-0.036711895287318774,0.891432771700863,12.377999973297118,12.72928365781438,12.026716288779857,12.539999961853027,12.434999942779541,,,10.520000457763672
2017-04-13,12.0600004196167,12.0600004196167,11.609999656677246,11.720000267028809,12111000,0,0,-0.028997467824750323,0.8655834785855392,12.3375,12.784307256397796,11.890692743602205,12.324999809265137,12.394999980926514,,,10.5
