Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-06,29.5,30.0,24.5,26.0,162930,0,0.0,,,,,,,,,,14.5
2017-02-07,26.0,26.100000381469727,23.5,24.0,146120,0,0.0,-0.07692307692307687,0.9230769230769231,,,,,,,,14.5
2017-02-08,23.5,24.0,22.0,22.5,105670,0,0.0,-0.0625,0.8653846153846154,,,,,,,,14.5
2017-02-09,22.0,27.0,22.0,25.5,114500,0,0.0,0.1333333333333333,0.9807692307692308,,,,,,,,14.0
2017-02-10,25.5,26.5,25.5,26.0,28410,0,0.0,0.019607843137254832,1.0,,,,,,,,15.5
2017-02-13,26.5,27.0,25.0,25.0,43400,0,0.0,-0.038461538461538436,0.9615384615384616,,,,,,,,19.0
2017-02-14,24.5,25.299999237060547,19.5,21.0,258600,0,0.0,-0.16000000000000003,0.8076923076923077,,,,,,,,18.5
2017-02-15,22.5,22.5,20.0,20.5,48350,0,0.0,-0.023809523809523836,0.7884615384615384,,,,,,,,16.5
2017-02-16,20.5,21.5,20.0,20.5,43490,0,0.0,0.0,0.7884615384615384,,,,24.75,,,,17.0
2017-02-17,20.5,21.0,20.0,21.0,27030,0,0.0,0.024390243902439046,0.8076923076923077,,,,23.25,,,,16.5
2017-02-21,21.5,21.5,20.5,21.0,54240,0,0.0,0.0,0.8076923076923077,,,,23.25,,,,16.5
2017-02-22,21.0,21.5,20.0,21.0,47660,0,0.0,0.0,0.8076923076923077,,,,23.25,,,,15.0
2017-02-23,21.0,21.5,18.5,21.0,126610,0,0.0,0.0,0.8076923076923077,,,,22.75,,,,15.5
2017-02-24,20.5,21.0,19.5,19.5,33830,0,0.0,-0.0714285714285714,0.75,,,,22.75,,,,15.0
2017-02-27,19.5,20.5,19.0,19.5,33630,0,0.0,0.0,0.75,,,,21.899999618530273,,,,14.0
2017-02-28,19.5,20.5,17.0,17.5,63420,0,0.0,-0.10256410256410253,0.6730769230769231,,,,19.75,,,,13.5
2017-03-01,18.0,18.0,17.200000762939453,18.0,7720,0,0.0,0.02857142857142847,0.6923076923076923,,,,19.25,,,,13.5
2017-03-02,17.5,18.0,16.0,17.5,128810,0,0.0,-0.02777777777777779,0.673076923076923,,,,18.75,,,,13.5
2017-03-03,17.5,18.0,17.0,17.0,14620,0,0.0,-0.02857142857142858,0.6538461538461537,,,,18.75,,,,13.0
2017-03-06,16.5,17.0,15.0,15.5,58680,0,0.0,-0.08823529411764708,0.596153846153846,20.975,27.045132141109153,14.90486785889085,18.25,,,,13.5
2017-03-07,15.5,16.5,15.0,16.0,63310,0,0.0,0.032258064516129004,0.6153846153846152,20.475,26.4528308863051,14.497169113694902,18.25,,,,13.0
2017-03-08,16.0,16.299999237060547,15.0,15.5,46940,0,0.0,-0.03125,0.5961538461538459,20.05,26.17340084387238,13.926599156127624,18.0,,,,13.0
2017-03-09,15.0,16.0,13.0,14.5,88850,0,0.0,-0.06451612903225812,0.5576923076923075,19.65,26.12018782774626,13.179812172253737,16.75,,,,10.5
2017-03-10,14.5,14.5,13.5,14.0,24250,0,0.0,-0.03448275862068961,0.5384615384615383,19.075,25.40440098604168,12.74559901395832,16.75,,,,10.5
2017-03-13,14.0,15.5,13.800000190734863,15.0,53760,0,0.0,0.0714285714285714,0.5769230769230768,18.525,24.225827179130754,12.824172820869244,15.5,,,,10.0
2017-03-14,15.0,16.0,13.5,14.0,53600,0,0.0,-0.06666666666666665,0.5384615384615383,17.975,23.16530056933124,12.784699430668763,15.5,21.5,,,11.5
2017-03-15,14.0,14.5,14.0,14.5,14330,0,0.0,0.03571428571428581,0.5576923076923076,17.65,22.856102087682164,12.443897912317833,15.5,20.0,,,11.5
2017-03-16,14.5,14.5,13.0,14.5,42600,0,0.0,0.0,0.5576923076923076,17.35,22.55610208768217,12.143897912317835,15.0,20.0,,,12.0
2017-03-17,14.5,14.5,14.0,14.5,37900,0,0.0,0.0,0.5576923076923076,17.05,22.185719700500165,11.914280299499838,14.75,20.0,,,12.5
2017-03-20,14.0,14.5,13.0,14.0,34480,0,0.0,-0.03448275862068961,0.5384615384615384,16.7,21.660489789060016,11.739510210939985,14.649999618530273,20.0,,,13.5
2017-03-21,14.0,20.0,13.5,15.5,234190,0,0.0,0.1071428571428572,0.5961538461538461,16.425,20.99154320488765,11.858456795112355,16.5,20.0,,,13.5
2017-03-22,15.5,21.0,13.800000190734863,19.0,155570,0,0.0,0.22580645161290325,0.7307692307692307,16.325,20.55838747029899,12.09161252970101,17.0,19.149999618530273,,,10.0
2017-03-23,18.399999618530277,21.0,17.5,18.5,120940,0,0.0,-0.02631578947368418,0.7115384615384616,16.2,19.994191682864226,12.405808317135772,17.0,17.75,,,9.5
2017-03-24,18.0,18.0,15.5,16.5,65210,0,0.0,-0.10810810810810811,0.6346153846153846,16.05,19.531559844002214,12.568440155997788,17.0,17.25,,,3.799999952316284
2017-03-27,16.0,17.0,16.0,17.0,30090,0,0.0,0.030303030303030276,0.6538461538461537,15.925,19.060919406859192,12.78908059314081,17.0,17.25,,,4.599999904632568
2017-03-28,17.0,19.5,16.5,16.5,62270,0,0.0,-0.02941176470588236,0.6346153846153845,15.875,18.93917585725931,12.810824142740689,17.0,17.25,,,4.199999809265137
2017-03-29,17.0,17.5,15.0,16.5,294060,0,0.0,0.0,0.6346153846153845,15.8,18.721026495852787,12.878973504147215,17.0,17.25,,,4.199999809265137
2017-03-30,17.0,18.5,14.5,15.0,156200,0,0.0,-0.09090909090909094,0.5769230769230768,15.675,18.505951300032947,12.844048699967056,17.0,17.25,,,4.199999809265137
2017-03-31,15.5,16.0,14.5,15.5,53100,0,0.0,0.03333333333333344,0.596153846153846,15.6,18.364554594372027,12.83544540562797,17.25,17.0,,,4.199999809265137
2017-04-03,15.5,16.0,15.0,15.0,50770,0,0.0,-0.032258064516129004,0.5769230769230769,15.575,18.351868929681757,12.79813107031824,17.40000009536743,17.0,,,4.0
2017-04-04,15.0,15.5,13.5,14.0,65970,0,0.0,-0.06666666666666665,0.5384615384615384,15.475,18.32729713518223,12.622702864817768,17.25,17.0,,,3.5999999046325684
2017-04-05,14.5,14.5,13.5,13.5,71540,0,0.0,-0.0357142857142857,0.5192307692307692,15.375,18.35555363984619,12.394446360153811,16.5,17.0,,,3.299999952316284
2017-04-06,13.5,16.0,12.5,13.5,132350,0,0.0,0.0,0.5192307692307692,15.325,18.395767262256737,12.254232737743262,16.0,16.75,,,3.200000047683716
2017-04-07,13.5,17.0,13.0,13.5,106450,0,0.0,0.0,0.5192307692307692,15.3,18.42178356578084,12.178216434219165,16.0,16.75,,,3.700000047683716
2017-04-10,14.0,14.0,13.0,13.0,27250,0,0.0,-0.03703703703703709,0.4999999999999999,15.2,18.479707304013633,11.920292695986365,15.5,16.75,,,3.200000047683716
2017-04-11,13.0,14.5,13.0,13.5,57310,0,0.0,0.03846153846153855,0.5192307692307692,15.175,18.498721915025598,11.851278084974401,15.5,16.75,,,3.299999952316284
2017-04-12,13.5,14.0,13.0,13.0,21030,0,0.0,-0.03703703703703709,0.4999999999999999,15.1,18.548005373057293,11.651994626942706,14.75,16.75,,,4.5
2017-04-13,13.0,13.5,13.0,13.0,16820,0,0.0,0.0,0.4999999999999999,15.025,18.586581405115368,11.463418594884633,14.75,16.75,,,4.400000095367432
2017-04-17,12.0,12.5,9.5,10.5,250950,0,0.0,-0.1923076923076923,0.40384615384615374,14.825,18.90021016571382,10.74978983428618,13.25,15.25,,,5.400000095367432
2017-04-18,10.0,10.5,9.5,10.5,58850,0,0.0,0.0,0.40384615384615374,14.65,19.13641974242977,10.163580257570231,13.25,15.25,,,5.0
2017-04-19,10.5,10.5,9.5,10.0,147090,0,0.0,-0.04761904761904767,0.38461538461538447,14.375,19.278866895248715,9.471133104751285,13.25,15.25,,,5.900000095367432
2017-04-20,10.0,12.5,9.5,11.5,270030,0,0.0,0.1499999999999999,0.4423076923076921,14.0,18.56349819650169,9.436501803498308,13.25,15.25,18.5,,5.5
2017-04-21,11.5,12.0,11.0,11.5,69920,0,0.0,0.0,0.4423076923076921,13.65,17.833240244997768,9.466759755002235,12.0,15.25,17.75,,5.800000190734863
2017-04-24,11.5,12.5,11.5,12.0,56160,0,0.0,0.04347826086956519,0.46153846153846134,13.425,17.45028992090868,9.399710079091323,12.0,15.25,17.5,,6.0
2017-04-25,12.0,12.5,12.0,12.5,13610,0,0.0,0.04166666666666674,0.4807692307692306,13.2,16.886072792496037,9.513927207503961,11.75,15.25,17.375,,5.800000190734863
2017-04-26,12.5,13.5,12.0,13.5,41290,0,0.0,0.08000000000000007,0.519230769230769,13.05,16.413406168251495,9.686593831748507,11.5,15.25,17.324999809265137,,5.800000190734863
2017-04-27,13.5,14.5,13.0,13.5,107960,0,0.0,0.0,0.519230769230769,12.9,15.8758862457038,9.9241137542962,12.0,15.25,18.25,,5.699999809265137
2017-04-28,8.5,10.0,7.5,10.0,385300,0,0.0,-0.2592592592592593,0.38461538461538447,12.65,15.71788526512982,9.582114734870181,11.0,14.25,18.074999809265137,,5.400000095367432
2017-05-01,10.0,10.0,9.0,9.5,25820,0,0.0,-0.050000000000000044,0.36538461538461525,12.35,15.417885265129826,9.282114734870174,11.0,13.5,17.375,,5.199999809265137
2017-05-02,9.100000381469728,9.100000381469728,2.799999952316284,3.799999952316284,1129780,0,0.0,-0.6000000050193386,0.146153844319857,11.789999997615814,16.427291038317435,7.152708956914191,8.649999976158142,11.149999976158142,17.125,,5.5
2017-05-03,3.700000047683716,5.5,3.5999999046325684,4.599999904632568,260740,0,0.0,0.21052630588288435,0.17692307325509868,11.319999992847443,16.80416711225868,5.835832873436207,8.649999976158142,11.149999976158142,17.125,,5.099999904632568
2017-05-04,4.599999904632568,4.900000095367432,4.099999904632568,4.199999809265137,57860,0,0.0,-0.08695654427396826,0.16153845420250515,10.8549999833107,17.059088143635293,4.650911822986105,8.649999976158142,10.649999976158142,17.125,,4.699999809265137
2017-05-05,4.300000190734863,4.300000190734863,3.700000047683716,4.199999809265137,72800,0,0.0,0.0,0.16153845420250515,10.389999973773957,17.109865595860715,3.6701343516872003,8.649999976158142,10.649999976158142,17.125,,5.0
2017-05-08,4.199999809265137,4.5,4.099999904632568,4.199999809265137,20630,0,0.0,0.0,0.16153845420250515,9.924999964237212,17.00128014715127,2.8487197813231564,8.649999976158142,9.899999976158142,17.125,,5.0
2017-05-09,4.400000095367432,4.400000095367432,4.099999904632568,4.199999809265137,34590,0,0.0,0.0,0.16153845420250515,9.48499995470047,16.8338721397148,2.13612776968614,8.649999976158142,9.899999976158142,17.125,,5.0
2017-05-10,4.199999809265137,4.199999809265137,3.799999952316284,4.0,51390,0,0.0,-0.04761900436850974,0.15384615384615374,9.00999995470047,16.48777490569055,1.5322250037103906,6.399999976158142,9.899999976158142,17.200000047683716,,4.5
2017-05-11,3.900000095367432,4.199999809265137,3.5999999046325684,3.5999999046325684,44580,0,0.0,-0.10000002384185791,0.13846153479356024,8.539999949932099,16.137543647468355,0.9424562523958411,6.399999976158142,9.899999976158142,17.125,,5.199999809265137
2017-05-12,3.700000047683716,3.799999952316284,3.0999999046325684,3.299999952316284,104690,0,0.0,-0.08333332229543589,0.1269230750890878,8.054999947547913,15.690524507800307,0.4194753872955186,5.950000166893006,9.899999976158142,16.75,,4.800000190734863
2017-05-15,3.0999999046325684,3.400000095367432,3.0999999046325684,3.200000047683716,34500,0,0.0,-0.030303001841675226,0.12307692491091207,7.689999949932099,15.520684506642198,-0.14068460677799965,4.299999952316284,9.899999976158142,16.375,,4.699999809265137
